SH, 33, 1986051512,   , BEST,   0,  53S, 1610E,  25
SH, 33, 1986051600,   , BEST,   0,  56S, 1620E,  25
SH, 33, 1986051612,   , BEST,   0,  62S, 1633E,  30
SH, 33, 1986051700,   , BEST,   0,  73S, 1645E,  40
SH, 33, 1986051712,   , BEST,   0,  83S, 1640E,  50
SH, 33, 1986051800,   , BEST,   0,  89S, 1628E,  60
SH, 33, 1986051812,   , BEST,   0,  95S, 1614E,  65
SH, 33, 1986051900,   , BEST,   0, 101S, 1602E,  55
SH, 33, 1986051912,   , BEST,   0, 111S, 1591E,  55
SH, 33, 1986052000,   , BEST,   0, 129S, 1585E,  65
SH, 33, 1986052012,   , BEST,   0, 146S, 1584E,  80
SH, 33, 1986052018,   , BEST,   0, 156S, 1588E,  85
SH, 33, 1986052100,   , BEST,   0, 167S, 1597E,  80
SH, 33, 1986052112,   , BEST,   0, 177S, 1614E,  60
SH, 33, 1986052200,   , BEST,   0, 186S, 1631E,  40
SH, 33, 1986052212,   , BEST,   0, 191S, 1647E,  30 
SH, 33, 1986052300,   , BEST,   0, 192S, 1666E,  25,    0, XX,   0,    ,    0,    0,    0,    0,     ,     ,    ,    ,    ,    ,    ,    ,    ,    ,       NAMU,  ,
