IO, 05, 1962070806,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962070812,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962070818,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962070900,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962070906,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962070912,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962070918,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071000,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071006,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071012,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071018,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071100,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071106,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071112,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071118,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071200,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071206,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071212,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071218,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071300,   , BEST,   0, 222N,  693E,-999
IO, 05, 1962071306,   , BEST,   0, 223N,  692E,-999
IO, 05, 1962071312,   , BEST,   0, 225N,  688E,-999
IO, 05, 1962071318,   , BEST,   0, 227N,  685E,-999
IO, 05, 1962071400,   , BEST,   0, 229N,  683E,-999
IO, 05, 1962071406,   , BEST,   0, 231N,  675E,-999
IO, 05, 1962071412,   , BEST,   0, 234N,  665E,-999
IO, 05, 1962071418,   , BEST,   0, 236N,  655E,-999
IO, 05, 1962071500,   , BEST,   0, 239N,  645E,-999
