IO, 12, 1960112518,   , BEST,   0, 102N,  878E,-999
IO, 12, 1960112600,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112606,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112612,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112618,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112700,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112706,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112712,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112718,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112800,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112806,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112812,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112818,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112900,   , BEST,   0, 105N,  875E,-999
IO, 12, 1960112906,   , BEST,   0, 106N,  874E,-999
IO, 12, 1960112912,   , BEST,   0, 108N,  871E,-999
IO, 12, 1960112918,   , BEST,   0, 110N,  868E,-999
IO, 12, 1960113000,   , BEST,   0, 112N,  865E,-999
IO, 12, 1960113006,   , BEST,   0, 114N,  863E,-999
IO, 12, 1960113012,   , BEST,   0, 115N,  863E,-999
IO, 12, 1960113018,   , BEST,   0, 117N,  861E,-999
IO, 12, 1960120100,   , BEST,   0, 118N,  860E,-999
IO, 12, 1960120106,   , BEST,   0, 120N,  858E,-999
IO, 12, 1960120112,   , BEST,   0, 123N,  855E,-999
IO, 12, 1960120118,   , BEST,   0, 125N,  853E,-999
IO, 12, 1960120200,   , BEST,   0, 128N,  850E,-999
