IO, 10, 1963101806,   , BEST,   0,  93N,  918E,-999
IO, 10, 1963101812,   , BEST,   0,  95N,  914E,-999
IO, 10, 1963101818,   , BEST,   0,  97N,  910E,-999
IO, 10, 1963101900,   , BEST,   0,  98N,  904E,-999
IO, 10, 1963101906,   , BEST,   0, 100N,  895E,-999
IO, 10, 1963101912,   , BEST,   0, 101N,  882E,-999
IO, 10, 1963101918,   , BEST,   0, 102N,  871E,-999
IO, 10, 1963102000,   , BEST,   0, 102N,  861E,-999
IO, 10, 1963102006,   , BEST,   0, 102N,  848E,-999
IO, 10, 1963102012,   , BEST,   0, 104N,  833E,-999
IO, 10, 1963102018,   , BEST,   0, 107N,  820E,-999
IO, 10, 1963102100,   , BEST,   0, 111N,  808E,-999
IO, 10, 1963102106,   , BEST,   0, 117N,  799E,-999
IO, 10, 1963102112,   , BEST,   0, 124N,  790E,-999
IO, 10, 1963102118,   , BEST,   0, 130N,  782E,-999
IO, 10, 1963102200,   , BEST,   0, 135N,  772E,-999
IO, 10, 1963102206,   , BEST,   0, 141N,  765E,-999
IO, 10, 1963102212,   , BEST,   0, 148N,  763E,-999
IO, 10, 1963102218,   , BEST,   0, 154N,  764E,-999
IO, 10, 1963102300,   , BEST,   0, 159N,  765E,-999
IO, 10, 1963102306,   , BEST,   0, 163N,  767E,-999
IO, 10, 1963102312,   , BEST,   0, 168N,  769E,-999
IO, 10, 1963102318,   , BEST,   0, 172N,  771E,-999
IO, 10, 1963102400,   , BEST,   0, 175N,  775E,-999
IO, 10, 1963102406,   , BEST,   0, 179N,  780E,-999
IO, 10, 1963102412,   , BEST,   0, 184N,  787E,-999
IO, 10, 1963102418,   , BEST,   0, 187N,  793E,-999
IO, 10, 1963102500,   , BEST,   0, 188N,  800E,-999
IO, 10, 1963102506,   , BEST,   0, 190N,  811E,-999
IO, 10, 1963102512,   , BEST,   0, 192N,  826E,-999
IO, 10, 1963102518,   , BEST,   0, 193N,  839E,-999
IO, 10, 1963102600,   , BEST,   0, 194N,  851E,-999
IO, 10, 1963102606,   , BEST,   0, 194N,  865E,-999
IO, 10, 1963102612,   , BEST,   0, 195N,  880E,-999
IO, 10, 1963102618,   , BEST,   0, 196N,  896E,-999
IO, 10, 1963102700,   , BEST,   0, 200N,  910E,-999
IO, 10, 1963102706,   , BEST,   0, 202N,  920E,-999
IO, 10, 1963102712,   , BEST,   0, 204N,  922E,-999
IO, 10, 1963102718,   , BEST,   0, 206N,  924E,-999
IO, 10, 1963102800,   , BEST,   0, 208N,  926E,-999
