IO, 06, 1947070918,   , BEST,   0, 189N,  906E,-999
IO, 06, 1947071000,   , BEST,   0, 189N,  903E,-999
IO, 06, 1947071006,   , BEST,   0, 189N,  898E,-999
IO, 06, 1947071012,   , BEST,   0, 189N,  892E,-999
IO, 06, 1947071018,   , BEST,   0, 189N,  887E,-999
IO, 06, 1947071100,   , BEST,   0, 188N,  883E,-999
IO, 06, 1947071106,   , BEST,   0, 188N,  878E,-999
IO, 06, 1947071112,   , BEST,   0, 186N,  870E,-999
IO, 06, 1947071118,   , BEST,   0, 186N,  862E,-999
IO, 06, 1947071200,   , BEST,   0, 186N,  852E,-999
